Ciclo 0000 | Temp: 10000.00 | Melhor Custo: 5122.0 | Tempo Decorrido: 0.0005s
Ciclo 0028 | Temp: 2378.27 | Melhor Custo: 4502.0 | Tempo Decorrido: 0.0188s
Ciclo 0029 | Temp: 2259.36 | Melhor Custo: 4502.0 | Tempo Decorrido: 0.0194s
Ciclo 0030 | Temp: 2146.39 | Melhor Custo: 4502.0 | Tempo Decorrido: 0.0200s
Ciclo 0031 | Temp: 2039.07 | Melhor Custo: 4502.0 | Tempo Decorrido: 0.0206s
Ciclo 0032 | Temp: 1937.11 | Melhor Custo: 4502.0 | Tempo Decorrido: 0.0212s
Ciclo 0033 | Temp: 1840.26 | Melhor Custo: 4502.0 | Tempo Decorrido: 0.0218s
Ciclo 0034 | Temp: 1748.25 | Melhor Custo: 4502.0 | Tempo Decorrido: 0.0224s
Ciclo 0035 | Temp: 1660.83 | Melhor Custo: 4502.0 | Tempo Decorrido: 0.0231s
Ciclo 0036 | Temp: 1577.79 | Melhor Custo: 4502.0 | Tempo Decorrido: 0.0238s
Ciclo 0037 | Temp: 1498.90 | Melhor Custo: 4502.0 | Tempo Decorrido: 0.0247s
Ciclo 0038 | Temp: 1423.96 | Melhor Custo: 4502.0 | Tempo Decorrido: 0.0253s
Ciclo 0039 | Temp: 1352.76 | Melhor Custo: 4397.0 | Tempo Decorrido: 0.0259s
Ciclo 0040 | Temp: 1285.12 | Melhor Custo: 4397.0 | Tempo Decorrido: 0.0265s
Ciclo 0041 | Temp: 1220.87 | Melhor Custo: 4397.0 | Tempo Decorrido: 0.0271s
Ciclo 0042 | Temp: 1159.82 | Melhor Custo: 4397.0 | Tempo Decorrido: 0.0277s
Ciclo 0043 | Temp: 1101.83 | Melhor Custo: 4338.0 | Tempo Decorrido: 0.0282s
Ciclo 0044 | Temp: 1046.74 | Melhor Custo: 4338.0 | Tempo Decorrido: 0.0288s
Ciclo 0045 | Temp:  994.40 | Melhor Custo: 4338.0 | Tempo Decorrido: 0.0294s
Ciclo 0046 | Temp:  944.68 | Melhor Custo: 4338.0 | Tempo Decorrido: 0.0301s
Ciclo 0047 | Temp:  897.45 | Melhor Custo: 4338.0 | Tempo Decorrido: 0.0308s
Ciclo 0048 | Temp:  852.58 | Melhor Custo: 4338.0 | Tempo Decorrido: 0.0317s
Ciclo 0049 | Temp:  809.95 | Melhor Custo: 4338.0 | Tempo Decorrido: 0.0322s
Ciclo 0050 | Temp:  769.45 | Melhor Custo: 4338.0 | Tempo Decorrido: 0.0328s
Ciclo 0051 | Temp:  730.98 | Melhor Custo: 4338.0 | Tempo Decorrido: 0.0334s
Ciclo 0052 | Temp:  694.43 | Melhor Custo: 4338.0 | Tempo Decorrido: 0.0340s
Ciclo 0053 | Temp:  659.71 | Melhor Custo: 4338.0 | Tempo Decorrido: 0.0345s
Ciclo 0054 | Temp:  626.72 | Melhor Custo: 4338.0 | Tempo Decorrido: 0.0351s
Ciclo 0055 | Temp:  595.39 | Melhor Custo: 4338.0 | Tempo Decorrido: 0.0357s
Ciclo 0056 | Temp:  565.62 | Melhor Custo: 4338.0 | Tempo Decorrido: 0.0364s
Ciclo 0057 | Temp:  537.34 | Melhor Custo: 4338.0 | Tempo Decorrido: 0.0371s
Ciclo 0058 | Temp:  510.47 | Melhor Custo: 4338.0 | Tempo Decorrido: 0.0379s
Ciclo 0059 | Temp:  484.95 | Melhor Custo: 4338.0 | Tempo Decorrido: 0.0384s
Ciclo 0060 | Temp:  460.70 | Melhor Custo: 4338.0 | Tempo Decorrido: 0.0390s
Ciclo 0061 | Temp:  437.66 | Melhor Custo: 4338.0 | Tempo Decorrido: 0.0396s
Ciclo 0062 | Temp:  415.78 | Melhor Custo: 4338.0 | Tempo Decorrido: 0.0402s
Ciclo 0063 | Temp:  394.99 | Melhor Custo: 4338.0 | Tempo Decorrido: 0.0408s
Ciclo 0064 | Temp:  375.24 | Melhor Custo: 4338.0 | Tempo Decorrido: 0.0415s
Ciclo 0065 | Temp:  356.48 | Melhor Custo: 4291.0 | Tempo Decorrido: 0.0420s
Ciclo 0066 | Temp:  338.66 | Melhor Custo: 4291.0 | Tempo Decorrido: 0.0427s
Ciclo 0067 | Temp:  321.72 | Melhor Custo: 4291.0 | Tempo Decorrido: 0.0432s
Ciclo 0068 | Temp:  305.64 | Melhor Custo: 4291.0 | Tempo Decorrido: 0.0438s
Ciclo 0069 | Temp:  290.35 | Melhor Custo: 4291.0 | Tempo Decorrido: 0.0447s
Ciclo 0070 | Temp:  275.84 | Melhor Custo: 4291.0 | Tempo Decorrido: 0.0454s
Ciclo 0071 | Temp:  262.05 | Melhor Custo: 4291.0 | Tempo Decorrido: 0.0460s
Ciclo 0072 | Temp:  248.94 | Melhor Custo: 4291.0 | Tempo Decorrido: 0.0466s
Ciclo 0073 | Temp:  236.50 | Melhor Custo: 4291.0 | Tempo Decorrido: 0.0473s
Ciclo 0074 | Temp:  224.67 | Melhor Custo: 4291.0 | Tempo Decorrido: 0.0479s
Ciclo 0075 | Temp:  213.44 | Melhor Custo: 4291.0 | Tempo Decorrido: 0.0485s
Ciclo 0076 | Temp:  202.77 | Melhor Custo: 4291.0 | Tempo Decorrido: 0.0490s
Ciclo 0077 | Temp:  192.63 | Melhor Custo: 4291.0 | Tempo Decorrido: 0.0496s
Ciclo 0078 | Temp:  183.00 | Melhor Custo: 4225.0 | Tempo Decorrido: 0.0502s
Ciclo 0079 | Temp:  173.85 | Melhor Custo: 4174.0 | Tempo Decorrido: 0.0508s
Ciclo 0080 | Temp:  165.15 | Melhor Custo: 4174.0 | Tempo Decorrido: 0.0517s
Ciclo 0081 | Temp:  156.90 | Melhor Custo: 4174.0 | Tempo Decorrido: 0.0525s
Ciclo 0082 | Temp:  149.05 | Melhor Custo: 3896.0 | Tempo Decorrido: 0.0531s
Ciclo 0083 | Temp:  141.60 | Melhor Custo: 3896.0 | Tempo Decorrido: 0.0537s
Ciclo 0084 | Temp:  134.52 | Melhor Custo: 3896.0 | Tempo Decorrido: 0.0542s
Ciclo 0085 | Temp:  127.79 | Melhor Custo: 3896.0 | Tempo Decorrido: 0.0548s
Ciclo 0086 | Temp:  121.40 | Melhor Custo: 3134.0 | Tempo Decorrido: 0.0554s
Ciclo 0087 | Temp:  115.33 | Melhor Custo: 3134.0 | Tempo Decorrido: 0.0560s
Ciclo 0088 | Temp:  109.57 | Melhor Custo: 3134.0 | Tempo Decorrido: 0.0566s
Ciclo 0089 | Temp:  104.09 | Melhor Custo: 3134.0 | Tempo Decorrido: 0.0572s
Ciclo 0090 | Temp:   98.88 | Melhor Custo: 3134.0 | Tempo Decorrido: 0.0579s
Ciclo 0091 | Temp:   93.94 | Melhor Custo: 3134.0 | Tempo Decorrido: 0.0587s
Ciclo 0092 | Temp:   89.24 | Melhor Custo: 3134.0 | Tempo Decorrido: 0.0595s
Ciclo 0093 | Temp:   84.78 | Melhor Custo: 3126.0 | Tempo Decorrido: 0.0600s
Ciclo 0094 | Temp:   80.54 | Melhor Custo: 3126.0 | Tempo Decorrido: 0.0606s
Ciclo 0095 | Temp:   76.51 | Melhor Custo: 3126.0 | Tempo Decorrido: 0.0612s
Ciclo 0096 | Temp:   72.69 | Melhor Custo: 3126.0 | Tempo Decorrido: 0.0618s
Ciclo 0097 | Temp:   69.05 | Melhor Custo: 3028.0 | Tempo Decorrido: 0.0624s
Ciclo 0098 | Temp:   65.60 | Melhor Custo: 3028.0 | Tempo Decorrido: 0.0630s
Ciclo 0099 | Temp:   62.32 | Melhor Custo: 3028.0 | Tempo Decorrido: 0.0636s
Ciclo 0100 | Temp:   59.21 | Melhor Custo: 3028.0 | Tempo Decorrido: 0.0642s
Ciclo 0101 | Temp:   56.25 | Melhor Custo: 2999.0 | Tempo Decorrido: 0.0649s
Ciclo 0102 | Temp:   53.43 | Melhor Custo: 2999.0 | Tempo Decorrido: 0.0657s
Ciclo 0103 | Temp:   50.76 | Melhor Custo: 2822.0 | Tempo Decorrido: 0.0664s
Ciclo 0104 | Temp:   48.22 | Melhor Custo: 2628.0 | Tempo Decorrido: 0.0670s
Ciclo 0105 | Temp:   45.81 | Melhor Custo: 2628.0 | Tempo Decorrido: 0.0676s
Ciclo 0106 | Temp:   43.52 | Melhor Custo: 2628.0 | Tempo Decorrido: 0.0683s
Ciclo 0107 | Temp:   41.35 | Melhor Custo: 2628.0 | Tempo Decorrido: 0.0689s
Ciclo 0108 | Temp:   39.28 | Melhor Custo: 2628.0 | Tempo Decorrido: 0.0696s
Ciclo 0109 | Temp:   37.31 | Melhor Custo: 2628.0 | Tempo Decorrido: 0.0702s
Ciclo 0110 | Temp:   35.45 | Melhor Custo: 2628.0 | Tempo Decorrido: 0.0708s
Ciclo 0111 | Temp:   33.68 | Melhor Custo: 2489.0 | Tempo Decorrido: 0.0714s
Ciclo 0112 | Temp:   31.99 | Melhor Custo: 2489.0 | Tempo Decorrido: 0.0722s
Ciclo 0113 | Temp:   30.39 | Melhor Custo: 2489.0 | Tempo Decorrido: 0.0730s
Ciclo 0114 | Temp:   28.87 | Melhor Custo: 2489.0 | Tempo Decorrido: 0.0736s
Ciclo 0115 | Temp:   27.43 | Melhor Custo: 2489.0 | Tempo Decorrido: 0.0743s
Ciclo 0116 | Temp:   26.06 | Melhor Custo: 2489.0 | Tempo Decorrido: 0.0749s
Ciclo 0117 | Temp:   24.75 | Melhor Custo: 2489.0 | Tempo Decorrido: 0.0755s
Ciclo 0118 | Temp:   23.52 | Melhor Custo: 2431.0 | Tempo Decorrido: 0.0761s
Ciclo 0119 | Temp:   22.34 | Melhor Custo: 2431.0 | Tempo Decorrido: 0.0767s
Ciclo 0120 | Temp:   21.22 | Melhor Custo: 2313.0 | Tempo Decorrido: 0.0773s
Ciclo 0121 | Temp:   20.16 | Melhor Custo: 2313.0 | Tempo Decorrido: 0.0779s
Ciclo 0122 | Temp:   19.15 | Melhor Custo: 2313.0 | Tempo Decorrido: 0.0785s
Ciclo 0123 | Temp:   18.20 | Melhor Custo: 2313.0 | Tempo Decorrido: 0.0795s
Ciclo 0124 | Temp:   17.29 | Melhor Custo: 2313.0 | Tempo Decorrido: 0.0803s
Ciclo 0125 | Temp:   16.42 | Melhor Custo: 2283.0 | Tempo Decorrido: 0.0808s
Ciclo 0126 | Temp:   15.60 | Melhor Custo: 2283.0 | Tempo Decorrido: 0.0815s
Ciclo 0127 | Temp:   14.82 | Melhor Custo: 2283.0 | Tempo Decorrido: 0.0821s
Ciclo 0128 | Temp:   14.08 | Melhor Custo: 2283.0 | Tempo Decorrido: 0.0827s
Ciclo 0129 | Temp:   13.38 | Melhor Custo: 2283.0 | Tempo Decorrido: 0.0833s
Ciclo 0130 | Temp:   12.71 | Melhor Custo: 2263.0 | Tempo Decorrido: 0.0839s
Ciclo 0131 | Temp:   12.07 | Melhor Custo: 2263.0 | Tempo Decorrido: 0.0845s
Ciclo 0132 | Temp:   11.47 | Melhor Custo: 2247.0 | Tempo Decorrido: 0.0851s
Ciclo 0133 | Temp:   10.90 | Melhor Custo: 2188.0 | Tempo Decorrido: 0.0859s
Ciclo 0134 | Temp:   10.35 | Melhor Custo: 2168.0 | Tempo Decorrido: 0.0866s
Ciclo 0135 | Temp:    9.83 | Melhor Custo: 2168.0 | Tempo Decorrido: 0.0874s
Ciclo 0136 | Temp:    9.34 | Melhor Custo: 2168.0 | Tempo Decorrido: 0.0880s
Ciclo 0137 | Temp:    8.87 | Melhor Custo: 2106.0 | Tempo Decorrido: 0.0886s
Ciclo 0138 | Temp:    8.43 | Melhor Custo: 2106.0 | Tempo Decorrido: 0.0892s
Ciclo 0139 | Temp:    8.01 | Melhor Custo: 2106.0 | Tempo Decorrido: 0.0898s
Ciclo 0140 | Temp:    7.61 | Melhor Custo: 2084.0 | Tempo Decorrido: 0.0904s
Ciclo 0141 | Temp:    7.23 | Melhor Custo: 2084.0 | Tempo Decorrido: 0.0910s
Ciclo 0142 | Temp:    6.87 | Melhor Custo: 2084.0 | Tempo Decorrido: 0.0917s
Ciclo 0143 | Temp:    6.52 | Melhor Custo: 2084.0 | Tempo Decorrido: 0.0923s
Ciclo 0144 | Temp:    6.20 | Melhor Custo: 2084.0 | Tempo Decorrido: 0.0930s
Ciclo 0145 | Temp:    5.89 | Melhor Custo: 2084.0 | Tempo Decorrido: 0.0937s
Ciclo 0146 | Temp:    5.59 | Melhor Custo: 2084.0 | Tempo Decorrido: 0.0944s
Ciclo 0147 | Temp:    5.31 | Melhor Custo: 2084.0 | Tempo Decorrido: 0.0950s
Ciclo 0148 | Temp:    5.05 | Melhor Custo: 2084.0 | Tempo Decorrido: 0.0956s
Ciclo 0149 | Temp:    4.80 | Melhor Custo: 2084.0 | Tempo Decorrido: 0.0962s
Ciclo 0150 | Temp:    4.56 | Melhor Custo: 2084.0 | Tempo Decorrido: 0.0968s
Ciclo 0151 | Temp:    4.33 | Melhor Custo: 2084.0 | Tempo Decorrido: 0.0975s
Ciclo 0152 | Temp:    4.11 | Melhor Custo: 2084.0 | Tempo Decorrido: 0.0981s
Ciclo 0153 | Temp:    3.91 | Melhor Custo: 2084.0 | Tempo Decorrido: 0.0987s
Ciclo 0154 | Temp:    3.71 | Melhor Custo: 2084.0 | Tempo Decorrido: 0.0993s
Ciclo 0155 | Temp:    3.52 | Melhor Custo: 2084.0 | Tempo Decorrido: 0.1002s
Ciclo 0156 | Temp:    3.35 | Melhor Custo: 2084.0 | Tempo Decorrido: 0.1010s
Ciclo 0157 | Temp:    3.18 | Melhor Custo: 2084.0 | Tempo Decorrido: 0.1016s
Ciclo 0158 | Temp:    3.02 | Melhor Custo: 2084.0 | Tempo Decorrido: 0.1023s
Ciclo 0159 | Temp:    2.87 | Melhor Custo: 2084.0 | Tempo Decorrido: 0.1029s
Ciclo 0160 | Temp:    2.73 | Melhor Custo: 2084.0 | Tempo Decorrido: 0.1035s
Ciclo 0161 | Temp:    2.59 | Melhor Custo: 2084.0 | Tempo Decorrido: 0.1041s
Ciclo 0162 | Temp:    2.46 | Melhor Custo: 2084.0 | Tempo Decorrido: 0.1047s
Ciclo 0163 | Temp:    2.34 | Melhor Custo: 2084.0 | Tempo Decorrido: 0.1053s
Ciclo 0164 | Temp:    2.22 | Melhor Custo: 2084.0 | Tempo Decorrido: 0.1059s
Ciclo 0165 | Temp:    2.11 | Melhor Custo: 2084.0 | Tempo Decorrido: 0.1066s
Ciclo 0166 | Temp:    2.01 | Melhor Custo: 2084.0 | Tempo Decorrido: 0.1074s
Ciclo 0167 | Temp:    1.90 | Melhor Custo: 2084.0 | Tempo Decorrido: 0.1082s
Ciclo 0168 | Temp:    1.81 | Melhor Custo: 2084.0 | Tempo Decorrido: 0.1088s
Ciclo 0169 | Temp:    1.72 | Melhor Custo: 2084.0 | Tempo Decorrido: 0.1094s
Ciclo 0170 | Temp:    1.63 | Melhor Custo: 2084.0 | Tempo Decorrido: 0.1100s
Ciclo 0171 | Temp:    1.55 | Melhor Custo: 2084.0 | Tempo Decorrido: 0.1106s
Ciclo 0172 | Temp:    1.47 | Melhor Custo: 2084.0 | Tempo Decorrido: 0.1112s
Ciclo 0173 | Temp:    1.40 | Melhor Custo: 2084.0 | Tempo Decorrido: 0.1118s
Ciclo 0174 | Temp:    1.33 | Melhor Custo: 2084.0 | Tempo Decorrido: 0.1125s
Ciclo 0175 | Temp:    1.26 | Melhor Custo: 2084.0 | Tempo Decorrido: 0.1131s
Ciclo 0176 | Temp:    1.20 | Melhor Custo: 2084.0 | Tempo Decorrido: 0.1138s
Ciclo 0177 | Temp:    1.14 | Melhor Custo: 2084.0 | Tempo Decorrido: 0.1146s
Ciclo 0178 | Temp:    1.08 | Melhor Custo: 2084.0 | Tempo Decorrido: 0.1153s
Ciclo 0179 | Temp:    1.03 | Melhor Custo: 2084.0 | Tempo Decorrido: 0.1159s
Ciclo 0180 | Temp:    0.98 | Melhor Custo: 2084.0 | Tempo Decorrido: 0.1165s
Ciclo 0181 | Temp:    0.93 | Melhor Custo: 2084.0 | Tempo Decorrido: 0.1171s
Ciclo 0182 | Temp:    0.88 | Melhor Custo: 2084.0 | Tempo Decorrido: 0.1177s
Ciclo 0183 | Temp:    0.84 | Melhor Custo: 2084.0 | Tempo Decorrido: 0.1183s
Ciclo 0184 | Temp:    0.80 | Melhor Custo: 2084.0 | Tempo Decorrido: 0.1189s
Ciclo 0185 | Temp:    0.76 | Melhor Custo: 2084.0 | Tempo Decorrido: 0.1195s
Ciclo 0186 | Temp:    0.72 | Melhor Custo: 2084.0 | Tempo Decorrido: 0.1201s
Ciclo 0187 | Temp:    0.68 | Melhor Custo: 2084.0 | Tempo Decorrido: 0.1210s
Ciclo 0188 | Temp:    0.65 | Melhor Custo: 2084.0 | Tempo Decorrido: 0.1218s
Ciclo 0189 | Temp:    0.62 | Melhor Custo: 2084.0 | Tempo Decorrido: 0.1224s
Ciclo 0190 | Temp:    0.59 | Melhor Custo: 2084.0 | Tempo Decorrido: 0.1230s
Ciclo 0191 | Temp:    0.56 | Melhor Custo: 2084.0 | Tempo Decorrido: 0.1238s
Ciclo 0192 | Temp:    0.53 | Melhor Custo: 2084.0 | Tempo Decorrido: 0.1244s
Ciclo 0193 | Temp:    0.50 | Melhor Custo: 2084.0 | Tempo Decorrido: 0.1250s
Ciclo 0194 | Temp:    0.48 | Melhor Custo: 2084.0 | Tempo Decorrido: 0.1256s
Ciclo 0195 | Temp:    0.45 | Melhor Custo: 2084.0 | Tempo Decorrido: 0.1262s
Ciclo 0196 | Temp:    0.43 | Melhor Custo: 2084.0 | Tempo Decorrido: 0.1268s
Ciclo 0197 | Temp:    0.41 | Melhor Custo: 2084.0 | Tempo Decorrido: 0.1275s
Ciclo 0198 | Temp:    0.39 | Melhor Custo: 2084.0 | Tempo Decorrido: 0.1284s
Ciclo 0199 | Temp:    0.37 | Melhor Custo: 2084.0 | Tempo Decorrido: 0.1292s
Ciclo 0200 | Temp:    0.35 | Melhor Custo: 2084.0 | Tempo Decorrido: 0.1302s
Ciclo 0201 | Temp:    0.33 | Melhor Custo: 2084.0 | Tempo Decorrido: 0.1311s
Ciclo 0202 | Temp:    0.32 | Melhor Custo: 2084.0 | Tempo Decorrido: 0.1317s
Ciclo 0203 | Temp:    0.30 | Melhor Custo: 2084.0 | Tempo Decorrido: 0.1324s
Ciclo 0204 | Temp:    0.29 | Melhor Custo: 2084.0 | Tempo Decorrido: 0.1331s
Ciclo 0205 | Temp:    0.27 | Melhor Custo: 2084.0 | Tempo Decorrido: 0.1340s
Ciclo 0206 | Temp:    0.26 | Melhor Custo: 2084.0 | Tempo Decorrido: 0.1347s
Ciclo 0207 | Temp:    0.24 | Melhor Custo: 2084.0 | Tempo Decorrido: 0.1355s
Ciclo 0208 | Temp:    0.23 | Melhor Custo: 2084.0 | Tempo Decorrido: 0.1362s
Ciclo 0209 | Temp:    0.22 | Melhor Custo: 2084.0 | Tempo Decorrido: 0.1369s
Ciclo 0210 | Temp:    0.21 | Melhor Custo: 2084.0 | Tempo Decorrido: 0.1375s
Ciclo 0211 | Temp:    0.20 | Melhor Custo: 2084.0 | Tempo Decorrido: 0.1383s
Ciclo 0212 | Temp:    0.19 | Melhor Custo: 2084.0 | Tempo Decorrido: 0.1389s
Ciclo 0213 | Temp:    0.18 | Melhor Custo: 2084.0 | Tempo Decorrido: 0.1395s
Ciclo 0214 | Temp:    0.17 | Melhor Custo: 2084.0 | Tempo Decorrido: 0.1401s
Ciclo 0215 | Temp:    0.16 | Melhor Custo: 2084.0 | Tempo Decorrido: 0.1407s
Ciclo 0216 | Temp:    0.15 | Melhor Custo: 2084.0 | Tempo Decorrido: 0.1415s
Ciclo 0217 | Temp:    0.15 | Melhor Custo: 2084.0 | Tempo Decorrido: 0.1424s
Ciclo 0218 | Temp:    0.14 | Melhor Custo: 2084.0 | Tempo Decorrido: 0.1430s
Ciclo 0219 | Temp:    0.13 | Melhor Custo: 2084.0 | Tempo Decorrido: 0.1437s
Ciclo 0220 | Temp:    0.13 | Melhor Custo: 2084.0 | Tempo Decorrido: 0.1443s
Ciclo 0221 | Temp:    0.12 | Melhor Custo: 2084.0 | Tempo Decorrido: 0.1449s
Ciclo 0222 | Temp:    0.11 | Melhor Custo: 2084.0 | Tempo Decorrido: 0.1455s
Ciclo 0223 | Temp:    0.11 | Melhor Custo: 2084.0 | Tempo Decorrido: 0.1461s
Ciclo 0224 | Temp:    0.10 | Melhor Custo: 2084.0 | Tempo Decorrido: 0.1468s
Ciclo 0225 | Temp:    0.10 | Melhor Custo: 2084.0 | Tempo Decorrido: 0.1474s
Ciclo 0226 | Temp:    0.09 | Melhor Custo: 2084.0 | Tempo Decorrido: 0.1481s
Ciclo 0227 | Temp:    0.09 | Melhor Custo: 2084.0 | Tempo Decorrido: 0.1490s
Ciclo 0228 | Temp:    0.08 | Melhor Custo: 2084.0 | Tempo Decorrido: 0.1496s
Ciclo 0229 | Temp:    0.08 | Melhor Custo: 2084.0 | Tempo Decorrido: 0.1502s
Ciclo 0230 | Temp:    0.08 | Melhor Custo: 2084.0 | Tempo Decorrido: 0.1508s
Ciclo 0231 | Temp:    0.07 | Melhor Custo: 2084.0 | Tempo Decorrido: 0.1514s
Ciclo 0232 | Temp:    0.07 | Melhor Custo: 2084.0 | Tempo Decorrido: 0.1520s
Ciclo 0233 | Temp:    0.06 | Melhor Custo: 2084.0 | Tempo Decorrido: 0.1528s
Ciclo 0234 | Temp:    0.06 | Melhor Custo: 2084.0 | Tempo Decorrido: 0.1534s
Ciclo 0235 | Temp:    0.06 | Melhor Custo: 2084.0 | Tempo Decorrido: 0.1540s
Ciclo 0236 | Temp:    0.06 | Melhor Custo: 2084.0 | Tempo Decorrido: 0.1546s
Ciclo 0237 | Temp:    0.05 | Melhor Custo: 2084.0 | Tempo Decorrido: 0.1554s
Ciclo 0238 | Temp:    0.05 | Melhor Custo: 2084.0 | Tempo Decorrido: 0.1563s
Ciclo 0239 | Temp:    0.05 | Melhor Custo: 2084.0 | Tempo Decorrido: 0.1569s
Ciclo 0240 | Temp:    0.05 | Melhor Custo: 2084.0 | Tempo Decorrido: 0.1575s
Ciclo 0241 | Temp:    0.04 | Melhor Custo: 2084.0 | Tempo Decorrido: 0.1581s
Ciclo 0242 | Temp:    0.04 | Melhor Custo: 2084.0 | Tempo Decorrido: 0.1588s
Ciclo 0243 | Temp:    0.04 | Melhor Custo: 2084.0 | Tempo Decorrido: 0.1594s
Ciclo 0244 | Temp:    0.04 | Melhor Custo: 2084.0 | Tempo Decorrido: 0.1600s
Ciclo 0245 | Temp:    0.03 | Melhor Custo: 2084.0 | Tempo Decorrido: 0.1606s
Ciclo 0246 | Temp:    0.03 | Melhor Custo: 2084.0 | Tempo Decorrido: 0.1612s
Ciclo 0247 | Temp:    0.03 | Melhor Custo: 2084.0 | Tempo Decorrido: 0.1619s
Ciclo 0248 | Temp:    0.03 | Melhor Custo: 2084.0 | Tempo Decorrido: 0.1629s
Ciclo 0249 | Temp:    0.03 | Melhor Custo: 2084.0 | Tempo Decorrido: 0.1637s
Ciclo 0250 | Temp:    0.03 | Melhor Custo: 2084.0 | Tempo Decorrido: 0.1644s
Ciclo 0251 | Temp:    0.03 | Melhor Custo: 2084.0 | Tempo Decorrido: 0.1650s
Ciclo 0252 | Temp:    0.02 | Melhor Custo: 2084.0 | Tempo Decorrido: 0.1656s
Ciclo 0253 | Temp:    0.02 | Melhor Custo: 2084.0 | Tempo Decorrido: 0.1662s
Ciclo 0254 | Temp:    0.02 | Melhor Custo: 2084.0 | Tempo Decorrido: 0.1668s
Ciclo 0255 | Temp:    0.02 | Melhor Custo: 2084.0 | Tempo Decorrido: 0.1674s
Ciclo 0256 | Temp:    0.02 | Melhor Custo: 2084.0 | Tempo Decorrido: 0.1680s
Ciclo 0257 | Temp:    0.02 | Melhor Custo: 2084.0 | Tempo Decorrido: 0.1686s
Ciclo 0258 | Temp:    0.02 | Melhor Custo: 2084.0 | Tempo Decorrido: 0.1695s
Ciclo 0259 | Temp:    0.02 | Melhor Custo: 2084.0 | Tempo Decorrido: 0.1702s
Ciclo 0260 | Temp:    0.02 | Melhor Custo: 2084.0 | Tempo Decorrido: 0.1708s
Ciclo 0261 | Temp:    0.02 | Melhor Custo: 2084.0 | Tempo Decorrido: 0.1715s
Ciclo 0262 | Temp:    0.01 | Melhor Custo: 2084.0 | Tempo Decorrido: 0.1721s
Ciclo 0263 | Temp:    0.01 | Melhor Custo: 2084.0 | Tempo Decorrido: 0.1726s
Ciclo 0264 | Temp:    0.01 | Melhor Custo: 2084.0 | Tempo Decorrido: 0.1733s
Ciclo 0265 | Temp:    0.01 | Melhor Custo: 2084.0 | Tempo Decorrido: 0.1738s
Ciclo 0266 | Temp:    0.01 | Melhor Custo: 2084.0 | Tempo Decorrido: 0.1744s
